maze,n_exp,exploit_steps_mean,exploit_steps_std,macro_pop_mean,numerosity_mean,reliable_mean,explore_time_total_s,exploit_time_total_s,total_time_s
Cassandra4x4-ounold,10,3.1305,0.5654,258.40,258.40,151.50,0.2139,0.0305,0.2444
Littman57-ounold,10,4.0030,0.2016,104.70,104.70,93.30,0.1625,0.0234,0.1859
Littman89-ounold,10,4.2695,0.3487,206.30,206.30,168.60,0.2708,0.0281,0.2989
Maze10-ounold,10,124.9620,7.6099,121.00,121.00,99.70,0.5408,0.5858,1.1266
Maze4-ounold,10,3.6340,0.1323,281.50,281.50,263.90,0.4043,0.0332,0.4375
Maze7-ounold,10,95.7600,9.3650,95.80,95.80,89.00,0.5311,0.3987,0.9298
MazeA-ounold,10,4.2895,0.0599,173.20,173.20,171.70,0.2876,0.0211,0.3088
MazeB-ounold,10,4.2405,0.2453,301.70,301.70,253.70,0.4957,0.0430,0.5386
MazeD-ounold,10,2.9110,0.0939,261.30,261.30,198.30,0.2898,0.0241,0.3139
MazeE1-ounold,10,6.3325,1.6547,496.20,496.20,177.50,0.6020,0.1122,0.7142
MazeE2-ounold,10,61.6535,18.7913,600.40,600.40,183.20,0.8125,0.9030,1.7155
MazeE3-ounold,10,137.3745,3.8855,573.90,573.90,259.40,1.6067,2.2200,3.8266
MazeF2-ounold,10,2.4835,0.0598,87.80,87.80,87.80,0.0787,0.0096,0.0883
MazeF3-ounold,10,3.3505,0.1085,97.70,97.70,97.70,0.1237,0.0131,0.1368
MazeF4-ounold,10,101.7690,17.6133,114.00,114.00,100.40,0.5619,0.5041,1.0660
MiyazakiA-ounold,10,3.2985,0.1915,334.50,334.50,227.20,0.4022,0.0368,0.4390
MiyazakiB-ounold,10,3.6845,0.1100,327.80,327.80,256.60,0.5964,0.0387,0.6351
Woods1-ounold,10,1.7990,0.0704,203.10,203.10,118.70,0.0967,0.0123,0.1090
Woods100-ounold,10,17.7775,3.0129,18.00,18.00,14.00,0.0276,0.0175,0.0451
Woods101-ounold,10,19.4365,2.4249,98.80,98.80,85.20,0.1786,0.0658,0.2444
Woods101_5-ounold,10,154.5945,8.7336,102.80,102.80,64.10,0.7112,0.8655,1.5767
Woods102-ounold,10,142.4365,7.4409,136.50,136.50,103.90,0.8383,0.6703,1.5086
