maze,mode,no_subsumption,total_time_s,avg_exp_time_s,std_exp_time_s,exploit_avg_steps,exploit_avg_steps_std,micro_pop_exploit2_avg,macro_pop_exploit2_avg,micro_pop_rel_exploit2_avg,macro_pop_rel_exploit2_avg,gpu_apply_learning_s,gpu_batch_add_s,gpu_subsumption_s,gpu_reserve_slots_s,gpu_metrics_s
Cassandra4x4,CPU Single,True,5.259568691253662,0.5184870719909668,0.11255155135246032,5.0348,6.047213321853298,1348.8542,117.0644,916.6666,26.9898,0.0,0.0,0.0,0.0,0.0
Littman57,CPU Single,True,6.1832990646362305,0.6171175956726074,0.09865441304058066,5.7024,7.750369942138246,2172.3498,90.0182,1947.8196,48.5598,0.0,0.0,0.0,0.0,0.0
Littman89,CPU Single,True,11.68022871017456,1.1660398960113525,0.27143423728321436,5.7124,4.614898291403614,3895.0774,154.3,3500.9746,85.3398,0.0,0.0,0.0,0.0,0.0
Maze10,CPU Single,True,40.12851858139038,4.011467933654785,0.14900784365764083,147.995,83.16858406273369,2580.0718,80.867,2428.1,59.8,0.0,0.0,0.0,0.0,0.0
Maze4,CPU Single,True,11.212620496749878,1.1186210632324218,0.09829992670807876,5.3938,4.6157471291222185,3645.6032,197.6234,3040.5696,80.5298,0.0,0.0,0.0,0.0,0.0
Maze7,CPU Single,True,21.647513151168823,2.1639472961425783,0.1699302167079288,141.0918,80.89889351999815,1661.105,38.895,1658.3926,37.159,0.0,0.0,0.0,0.0,0.0
MazeA,CPU Single,True,23.637619018554688,2.361768698692322,1.157022902503557,40.3978,73.41048123503892,4662.0346,149.5212,4375.9196,102.0196,0.0,0.0,0.0,0.0,0.0
MazeB,CPU Single,True,11.498085737228394,1.1473590850830078,0.10917738875696348,5.5136,4.782574101882793,3714.2762,190.0236,3152.2068,84.4592,0.0,0.0,0.0,0.0,0.0
MazeD,CPU Single,True,10.681317567825317,1.0658612251281738,0.11478650055451312,4.286,3.789327644846774,4084.1108,179.6582,3558.7294,91.5294,0.0,0.0,0.0,0.0,0.0
MazeE1,CPU Single,True,21.82876944541931,2.1779425144195557,0.4281002404364777,9.8646,18.64325794597071,3441.6576,297.8662,2477.4148,78.899,0.0,0.0,0.0,0.0,0.0
MazeE2,CPU Single,True,21.900261163711548,2.184179878234863,0.4221110498823465,7.7778,13.244441368362805,3070.8392,336.97,2109.1,62.0,0.0,0.0,0.0,0.0,0.0
MazeE3,CPU Single,True,55.10170388221741,5.497683811187744,0.602684837689289,15.9298,28.570062512357232,4664.8726,526.4684,3257.7886,92.1,0.0,0.0,0.0,0.0,0.0
MazeF2,CPU Single,True,2.076287269592285,0.2070547103881836,0.024462216592378384,3.27,1.626253362794371,1034.3358,37.588,974.3312,25.0098,0.0,0.0,0.0,0.0,0.0
MazeF3,CPU Single,True,15.762589931488037,1.5755216360092164,0.4264633947718187,103.982,90.9206603363614,1602.1742,40.2466,1594.2098,37.5098,0.0,0.0,0.0,0.0,0.0
MazeF4,CPU Single,True,27.1180157661438,2.7109395027160645,0.20666666358307115,157.599,72.8962564127953,1972.011,45.9778,1970.619,44.919,0.0,0.0,0.0,0.0,0.0
MiyazakiA,CPU Single,True,8.997609615325928,0.8968137502670288,0.1423697909522444,4.6308,5.0694468495093234,2921.9348,222.832,2250.8256,66.0694,0.0,0.0,0.0,0.0,0.0
MiyazakiB,CPU Single,True,9.746630907058716,0.9719702720642089,0.12043558371605911,5.1444,2.689302630794831,3208.4144,209.4068,2602.5188,74.7,0.0,0.0,0.0,0.0,0.0
Woods1,CPU Single,True,4.172337293624878,0.41586282253265383,0.06627763371277819,3.0942,3.0619807902728584,1940.1838,127.6616,1579.0326,44.6198,0.0,0.0,0.0,0.0,0.0
Woods100,CPU Single,True,0.9441568851470947,0.09391322135925294,0.011819998236959716,2.2456,1.0604153148648883,458.6478,22.7498,432.449,15.8,0.0,0.0,0.0,0.0,0.0
Woods101,CPU Single,True,19.619673013687134,1.9611144304275512,0.4857464979650405,83.505,89.06806596642818,1536.551,53.858,1420.8086,35.2098,0.0,0.0,0.0,0.0,0.0
Woods101_5,CPU Single,True,45.57354807853699,4.555809664726258,0.21255152215524462,154.2416,79.67295419049051,3252.7968,88.9906,3172.3234,72.7098,0.0,0.0,0.0,0.0,0.0
Woods102,CPU Single,True,60.40090298652649,6.037964797019958,0.2558777942305113,152.1532,80.37798286695183,5187.1812,133.8082,5135.8492,116.4492,0.0,0.0,0.0,0.0,0.0
