source,block,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,do_ga,er_buffer_size,er_min_samples,er_samples_number,strict_resource_limits,rss_scope,trials,micro,pop_spec,spec_max,q_mean,q_max,q_above_half,marked,mark_density,exp_mean,addr_spec,addr_random,addr_full,correct
slurm_mpx20_s42_addr.out,1,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,true,,,,,,120000,1209,4.71,15,0.623,1.000,389,0.409,0.783,172.7,2.541,0.943,0.1565,64
slurm_mpx20_s42_addr.out,1,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,true,,,,,,60000,1191,4.93,15,0.650,1.000,400,0.412,0.781,85.4,2.500,0.987,0.1776,61
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,10000,4786,9.56,18,0.585,1.000,3141,0.377,0.555,4.5,1.921,1.911,0.0396,5
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,100000,1220,5.52,20,0.644,1.000,399,0.351,0.778,132.7,2.663,1.104,0.1915,61
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,110000,1222,5.15,20,0.649,1.000,384,0.413,0.783,153.6,2.394,1.029,0.1750,63
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,120000,1272,5.03,20,0.628,1.000,428,0.404,0.788,145.5,2.530,1.006,0.1747,63
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,20000,3313,9.24,20,0.615,1.000,2186,0.355,0.562,8.2,2.263,1.848,0.0772,14
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,30000,2161,8.43,20,0.642,1.000,1270,0.323,0.618,17.1,2.443,1.685,0.1394,29
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,40000,1782,7.34,20,0.638,1.000,912,0.308,0.682,28.0,2.456,1.469,0.1491,38
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,50000,1479,6.88,20,0.653,1.000,693,0.313,0.714,45.1,2.626,1.376,0.1916,48
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,60000,1351,6.25,20,0.653,1.000,542,0.350,0.759,58.0,2.581,1.251,0.1976,53
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,70000,1323,5.93,20,0.645,1.000,493,0.337,0.763,74.1,2.604,1.186,0.2144,59
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,80000,1305,5.62,20,0.645,1.000,470,0.371,0.778,93.4,2.590,1.125,0.2087,62
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,,,90000,1295,5.36,20,0.639,1.000,461,0.380,0.785,106.4,2.578,1.071,0.1807,61
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,10000,1600,6.01,13,0.671,1.000,1309,0.392,0.716,9.2,1.540,1.201,0.0240,2
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,100000,1342,4.70,11,0.648,1.000,607,0.368,0.778,111.2,1.947,0.940,0.0937,57
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,110000,1228,4.74,11,0.651,1.000,528,0.324,0.777,137.7,2.064,0.949,0.1003,58
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,120000,1248,4.73,10,0.670,1.000,538,0.342,0.771,155.4,1.889,0.946,0.1084,61
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,130000,1541,4.64,11,0.626,1.000,719,0.371,0.780,114.2,1.792,0.928,0.0774,62
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,140000,1299,4.69,9,0.650,1.000,537,0.393,0.777,163.8,2.128,0.938,0.1207,63
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,150000,1204,4.69,6,0.640,1.000,424,0.343,0.775,213.1,2.214,0.938,0.1287,63
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,,,160000,1258,4.64,5,0.656,1.000,483,0.354,0.783,211.0,2.275,0.929,0.1314,64
