source,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,trials,wall_s,knowledge,reliable,spec,pop,accuracy,a0_nochange,a0_change,a1_nochange,a1_change,matched_but_wrong
slurm_mpx20_s42_addr.out,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,60000,6.0,0.9932,131,5.28,580,,,,,,
slurm_mpx20_s42_addr.out,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,120000,8.0,1.0,93,5.0,543,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,10000,3.0,0.333,84,7.27,4616,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,20000,4.0,0.5998,147,7.3,2942,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,30000,5.0,0.8054,168,7.02,1679,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,40000,6.0,0.8943,168,6.68,1261,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,50000,7.0,0.942,136,6.07,903,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,60000,7.0,0.9728,131,6.16,749,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,70000,7.0,0.9762,126,6.04,709,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,80000,8.0,0.9961,132,6.17,647,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,90000,8.0,0.9928,127,5.95,664,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,100000,9.0,0.9956,114,5.88,564,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,110000,9.0,0.9995,105,5.47,543,,,,,,
slurm_mpx20_s42_u10.out,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,120000,10.0,1.0,102,5.42,624,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,10000,4.0,0.6101,111,6.27,1502,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,20000,6.0,0.7779,144,5.99,1428,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,30000,8.0,0.8608,145,5.72,1176,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,40000,9.0,0.9082,147,5.51,920,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,50000,10.0,0.9397,133,5.42,963,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,60000,10.0,0.9531,122,5.36,959,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,70000,11.0,0.9581,117,5.27,799,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,80000,12.0,0.9736,111,5.17,758,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,90000,13.0,0.9805,120,5.17,802,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,100000,14.0,0.9788,105,5.1,779,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,110000,14.0,0.9761,111,5.11,688,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,120000,15.0,0.9844,106,5.06,655,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,130000,16.0,0.9941,98,5.05,943,,,,,,
slurm_mpx20_s42_u5.out,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,140000,16.0,0.9902,99,5.04,704,,,,,,
