source,block,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,do_ga,er_buffer_size,er_min_samples,er_samples_number,verdict,trials,knowledge,reliable,spec,n_bits,peak_macro,peak_rss_gb,wall_s,trials_per_s
slurm_mpx20_s42_addr.out,1,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,120000,1.0,93,5.0,21,4264,0.0,7.8,15384.62
slurm_mpx20_s42_u10.out,1,20,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,120000,1.0,102,5.42,21,6049,0.0,9.6,12500.0
slurm_mpx20_s42_u5.out,1,20,42,pyalcs,5,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,160000,1.0,95,5.0,21,4735,0.0,17.4,9195.4
slurm_mpx20_s42_u6.out,1,20,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,80000,1.0,108,5.09,21,4264,0.0,6.9,11594.2
slurm_mpx20_s42_u7.out,1,20,42,pyalcs,7,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,130000,1.0,92,5.01,21,5586,0.0,10.1,12871.29
slurm_mpx20_s42_u8.out,1,20,42,pyalcs,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,150000,1.0,94,5.15,21,6659,0.0,10.6,14150.94
slurm_mpx20_s42_u9.out,1,20,42,pyalcs,9,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,110000,1.0,105,5.3,21,6511,0.0,8.9,12359.55
mpx_m2b_reach37.log,2,37,42,butz,8,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,1140000,1.0,144,6.0,38,6276,0.06,117.7,9685.64
mpx_m2b_reach37.log,2,37,43,butz,8,1,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,768000,1.0,152,6.0,38,7913,0.06,81.5,9423.31
mpx_m2b_reach37.log,2,37,44,butz,8,2,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,684000,1.0,161,6.01,38,7464,0.06,80.6,8486.35
mpx_m2b_reach37.log,1,37,42,pyalcs,7,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,678000,1.0,144,6.03,38,6893,0.03,71.6,9469.27
slurm_mpx37_s42_addr.out,1,37,42,pyalcs,7,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,780000,1.0,148,6.0,38,6893,0.0,128.5,6070.04
slurm_mpx37_s42_cover.out,1,37,42,pyalcs,7,0,flip,wrapper-default,0.8,acs2,,,,true,,,,SUCCESS,780000,1.0,148,6.0,38,6893,0.0,122.5,6367.35
slurm_mpx37_s42_er.out,1,37,42,pyalcs,7,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,3,SUCCESS,300000,1.0,219,6.01,38,60055,0.0,12174.6,24.64
slurm_mpx37_s42_er1.out,1,37,42,pyalcs,7,0,flip,wrapper-default,0.8,acs2er,,,,true,10000,1000,1,SUCCESS,960000,1.0,144,6.0,38,6124,0.0,278.9,3442.09
slurm_mpx37_s42_u10.out,1,37,42,pyalcs,10,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,810000,1.0,151,6.22,38,15251,0.0,354.3,2286.2
slurm_mpx37_s42_u11.out,1,37,42,pyalcs,11,0,flip,wrapper-default,0.8,acs2,,,,true,,,,SUCCESS,870000,1.0,148,6.24,38,17630,0.0,588.5,1478.33
slurm_mpx37_s42_u12.out,1,37,42,pyalcs,12,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,900000,1.0,164,6.85,38,16022,0.0,381.2,2360.97
slurm_mpx37_s42_u6.out,1,37,42,pyalcs,6,0,flip,wrapper-default,0.8,,,,,true,,,,SUCCESS,1020000,1.0,151,6.0,38,5875,0.0,207.8,4908.57
