acs2-bench mpx-reach: sizes=[135] n_exp=1 seed=42 rss_cap=5.6GB time_cap=250000s do_ga=true alp_gen_variant=pyalcs
  mem mpx-135 (N=136): condition=272B effect=272B mark=3264B (stack) classifier=3896B  mark/classifier=83.8%  rss-cap pop-threshold=1437371
  mpx-135 trials_cap=18446744073709551615 (= 20000*2^(k-6)*10, clamped to u64::MAX) u_max=9
  mpx-135 traj: trials=60000 wall=174s knowledge=0.0000 reliable=0 spec=0.00 pop=3147
  mpx-135 traj: trials=120000 wall=287s knowledge=0.0000 reliable=0 spec=0.00 pop=3551
  mpx-135 traj: trials=180000 wall=434s knowledge=0.0000 reliable=0 spec=0.00 pop=5543
  mpx-135 traj: trials=240000 wall=546s knowledge=0.0000 reliable=0 spec=0.00 pop=3756
  mpx-135 traj: trials=300000 wall=685s knowledge=0.0000 reliable=0 spec=0.00 pop=3539
  mpx-135 traj: trials=360000 wall=832s knowledge=0.0000 reliable=0 spec=0.00 pop=4067
  mpx-135 traj: trials=420000 wall=948s knowledge=0.0000 reliable=0 spec=0.00 pop=3730
  mpx-135 traj: trials=480000 wall=1174s knowledge=0.0000 reliable=0 spec=0.00 pop=4361
  mpx-135 traj: trials=540000 wall=1289s knowledge=0.0000 reliable=0 spec=0.00 pop=3552
  mpx-135 traj: trials=600000 wall=1431s knowledge=0.0000 reliable=0 spec=0.00 pop=4083
  mpx-135 traj: trials=660000 wall=1544s knowledge=0.0000 reliable=0 spec=0.00 pop=3821
  mpx-135 traj: trials=720000 wall=1662s knowledge=0.0000 reliable=0 spec=0.00 pop=3972
  mpx-135 traj: trials=780000 wall=1768s knowledge=0.0000 reliable=0 spec=0.00 pop=3796
  mpx-135 traj: trials=840000 wall=1871s knowledge=0.0000 reliable=0 spec=0.00 pop=3755
  mpx-135 traj: trials=900000 wall=2008s knowledge=0.0000 reliable=0 spec=0.00 pop=4052
  mpx-135 traj: trials=960000 wall=2114s knowledge=0.0000 reliable=0 spec=0.00 pop=3775
  mpx-135 traj: trials=1020000 wall=2230s knowledge=0.0000 reliable=0 spec=0.00 pop=4032
  mpx-135 traj: trials=1080000 wall=2433s knowledge=0.0000 reliable=0 spec=0.00 pop=4034
  mpx-135 traj: trials=1140000 wall=2549s knowledge=0.0000 reliable=0 spec=0.00 pop=4194
  mpx-135 traj: trials=1200000 wall=2673s knowledge=0.0000 reliable=0 spec=0.00 pop=4023
  mpx-135 traj: trials=1260000 wall=2817s knowledge=0.0000 reliable=0 spec=0.00 pop=4021
  mpx-135 traj: trials=1320000 wall=3105s knowledge=0.0000 reliable=0 spec=0.00 pop=5042
  mpx-135 traj: trials=1380000 wall=3230s knowledge=0.0000 reliable=0 spec=0.00 pop=3879
  mpx-135 traj: trials=1440000 wall=3357s knowledge=0.0000 reliable=0 spec=0.00 pop=3758
  mpx-135 traj: trials=1500000 wall=3477s knowledge=0.0000 reliable=0 spec=0.00 pop=3664
  mpx-135 traj: trials=1560000 wall=3607s knowledge=0.0000 reliable=0 spec=0.00 pop=4118
  mpx-135 traj: trials=1620000 wall=3855s knowledge=0.0000 reliable=0 spec=0.00 pop=4163
  mpx-135 traj: trials=1680000 wall=3997s knowledge=0.0000 reliable=0 spec=0.00 pop=4435
  mpx-135 traj: trials=1740000 wall=4139s knowledge=0.0000 reliable=0 spec=0.00 pop=4039
  mpx-135 traj: trials=1800000 wall=4352s knowledge=0.0000 reliable=0 spec=0.00 pop=4030
  mpx-135 traj: trials=1860000 wall=4470s knowledge=0.0000 reliable=0 spec=0.00 pop=3588
  mpx-135 traj: trials=1920000 wall=4702s knowledge=0.0000 reliable=0 spec=0.00 pop=3807
  mpx-135 traj: trials=1980000 wall=4904s knowledge=0.0000 reliable=0 spec=0.00 pop=3774
  mpx-135 traj: trials=2040000 wall=5032s knowledge=0.0000 reliable=0 spec=0.00 pop=3991
  mpx-135 traj: trials=2100000 wall=5180s knowledge=0.0000 reliable=0 spec=0.00 pop=3962
  mpx-135 traj: trials=2160000 wall=5282s knowledge=0.0000 reliable=0 spec=0.00 pop=3864
  mpx-135 traj: trials=2220000 wall=5423s knowledge=0.0000 reliable=0 spec=0.00 pop=4002
  mpx-135 traj: trials=2280000 wall=5551s knowledge=0.0000 reliable=0 spec=0.00 pop=3988
  mpx-135 traj: trials=2340000 wall=5675s knowledge=0.0000 reliable=0 spec=0.00 pop=3815
  mpx-135 traj: trials=2400000 wall=5786s knowledge=0.0000 reliable=0 spec=0.00 pop=3889
  mpx-135 traj: trials=2460000 wall=5944s knowledge=0.0000 reliable=0 spec=0.00 pop=3666
  mpx-135 traj: trials=2520000 wall=6082s knowledge=0.0000 reliable=0 spec=0.00 pop=3726
  mpx-135 traj: trials=2580000 wall=6210s knowledge=0.0000 reliable=0 spec=0.00 pop=3777
  mpx-135 traj: trials=2640000 wall=6346s knowledge=0.0000 reliable=0 spec=0.00 pop=3707
  mpx-135 traj: trials=2700000 wall=6534s knowledge=0.0000 reliable=0 spec=0.00 pop=4009
  mpx-135 traj: trials=2760000 wall=6662s knowledge=0.0000 reliable=0 spec=0.00 pop=3728
  mpx-135 traj: trials=2820000 wall=6772s knowledge=0.0000 reliable=0 spec=0.00 pop=3724
  mpx-135 traj: trials=2880000 wall=6983s knowledge=0.0000 reliable=0 spec=0.00 pop=3993
  mpx-135 traj: trials=2940000 wall=7087s knowledge=0.0000 reliable=0 spec=0.00 pop=3860
  mpx-135 traj: trials=3000000 wall=7242s knowledge=0.0000 reliable=0 spec=0.00 pop=3917
  mpx-135 traj: trials=3060000 wall=7376s knowledge=0.0000 reliable=0 spec=0.00 pop=3693
  mpx-135 traj: trials=3120000 wall=7489s knowledge=0.0000 reliable=0 spec=0.00 pop=3578
  mpx-135 traj: trials=3180000 wall=7665s knowledge=0.0000 reliable=0 spec=0.00 pop=4223
  mpx-135 traj: trials=3240000 wall=7944s knowledge=0.0000 reliable=0 spec=0.00 pop=4211
  mpx-135 traj: trials=3300000 wall=8051s knowledge=0.0000 reliable=0 spec=0.00 pop=3844
  mpx-135 traj: trials=3360000 wall=8192s knowledge=0.0000 reliable=0 spec=0.00 pop=4024
  mpx-135 traj: trials=3420000 wall=8349s knowledge=0.0000 reliable=0 spec=0.00 pop=3863
  mpx-135 traj: trials=3480000 wall=8497s knowledge=0.0000 reliable=0 spec=0.00 pop=3816
  mpx-135 traj: trials=3540000 wall=8605s knowledge=0.0000 reliable=0 spec=0.00 pop=3812
  mpx-135 traj: trials=3600000 wall=8709s knowledge=0.0000 reliable=0 spec=0.00 pop=3886
  mpx-135 traj: trials=3660000 wall=8922s knowledge=0.0000 reliable=0 spec=0.00 pop=4603
  mpx-135 traj: trials=3720000 wall=9030s knowledge=0.0000 reliable=0 spec=0.00 pop=3543
  mpx-135 traj: trials=3780000 wall=9282s knowledge=0.0000 reliable=0 spec=0.00 pop=3832
  mpx-135 traj: trials=3840000 wall=9447s knowledge=0.0000 reliable=0 spec=0.00 pop=4174
  mpx-135 traj: trials=3900000 wall=9549s knowledge=0.0000 reliable=0 spec=0.00 pop=3992
  mpx-135 traj: trials=3960000 wall=9723s knowledge=0.0000 reliable=0 spec=0.00 pop=3750
  mpx-135 traj: trials=4020000 wall=9821s knowledge=0.0000 reliable=0 spec=0.00 pop=4023
  mpx-135 traj: trials=4080000 wall=9982s knowledge=0.0000 reliable=0 spec=0.00 pop=3735
  mpx-135 traj: trials=4140000 wall=10111s knowledge=0.0000 reliable=0 spec=0.00 pop=3808
  mpx-135 traj: trials=4200000 wall=10237s knowledge=0.0000 reliable=0 spec=0.00 pop=5328
  mpx-135 traj: trials=4260000 wall=10352s knowledge=0.0000 reliable=0 spec=0.00 pop=5521
  mpx-135 traj: trials=4320000 wall=10470s knowledge=0.0000 reliable=0 spec=0.00 pop=4138
  mpx-135 traj: trials=4380000 wall=10638s knowledge=0.0000 reliable=0 spec=0.00 pop=3969
  mpx-135 traj: trials=4440000 wall=10751s knowledge=0.0000 reliable=0 spec=0.00 pop=3824
  mpx-135 traj: trials=4500000 wall=10853s knowledge=0.0000 reliable=0 spec=0.00 pop=3848
  mpx-135 traj: trials=4560000 wall=10999s knowledge=0.0000 reliable=0 spec=0.00 pop=3684
  mpx-135 traj: trials=4620000 wall=11111s knowledge=0.0000 reliable=0 spec=0.00 pop=4139
  mpx-135 traj: trials=4680000 wall=11215s knowledge=0.0000 reliable=0 spec=0.00 pop=3801
  mpx-135 traj: trials=4740000 wall=11341s knowledge=0.0000 reliable=0 spec=0.00 pop=3841
  mpx-135 traj: trials=4800000 wall=11468s knowledge=0.0000 reliable=0 spec=0.00 pop=3599
  mpx-135 traj: trials=4860000 wall=11609s knowledge=0.0000 reliable=0 spec=0.00 pop=3815
  mpx-135 traj: trials=4920000 wall=11718s knowledge=0.0000 reliable=0 spec=0.00 pop=4347
  mpx-135 traj: trials=4980000 wall=11839s knowledge=0.0000 reliable=0 spec=0.00 pop=4152
  mpx-135 traj: trials=5040000 wall=11941s knowledge=0.0000 reliable=0 spec=0.00 pop=3678
  mpx-135 traj: trials=5100000 wall=12101s knowledge=0.0000 reliable=0 spec=0.00 pop=4273
  mpx-135 traj: trials=5160000 wall=12287s knowledge=0.0000 reliable=0 spec=0.00 pop=4447
  mpx-135 traj: trials=5220000 wall=12385s knowledge=0.0000 reliable=0 spec=0.00 pop=3954
  mpx-135 traj: trials=5280000 wall=12526s knowledge=0.0000 reliable=0 spec=0.00 pop=3821
  mpx-135 traj: trials=5340000 wall=12632s knowledge=0.0000 reliable=0 spec=0.00 pop=4334
